,order_id,customer_id,order_placement_date,on_time,in_full,otif
0,FMR32103503,789103,2022-03-01,1,0,0
1,FMR34103403,789103,2022-03-01,1,0,0
2,FMR32103602,789103,2022-03-01,1,0,0
3,FMR33103602,789103,2022-03-01,1,0,0
4,FMR33103401,789103,2022-03-01,1,0,0
5,FMR34903603,789903,2022-03-01,1,0,0
6,FMR32903403,789903,2022-03-01,1,0,0
7,FMR33903601,789903,2022-03-01,1,0,0
8,FMR32702601,789702,2022-03-01,1,0,0
9,FMR34702502,789702,2022-03-01,1,0,0
10,FMR34702602,789702,2022-03-01,1,0,0
11,FMR33702302,789702,2022-03-01,1,0,0
12,FMR34601402,789601,2022-03-01,1,0,0
13,FMR33601303,789601,2022-03-01,1,0,0
14,FMR32601103,789601,2022-03-01,1,0,0
15,FMR33301301,789301,2022-03-01,1,0,0
16,FMR34301602,789301,2022-03-01,1,0,0
17,FMR32301603,789301,2022-03-01,1,0,0
18,FMR33203603,789203,2022-03-01,1,0,0
19,FMR34621103,789621,2022-03-01,1,0,0
20,FMR33101403,789101,2022-03-01,1,0,0
21,FMR34102602,789102,2022-03-01,1,0,0
22,FMR32102602,789102,2022-03-01,1,0,0
23,FMR33902203,789902,2022-03-01,1,0,0
24,FMR34201202,789201,2022-03-01,1,0,0
25,FMR33201602,789201,2022-03-01,1,0,0
26,FMR33202502,789202,2022-03-01,1,0,0
27,FMR32202603,789202,2022-03-01,1,0,0
28,FMR34321602,789321,2022-03-01,1,0,0
29,FMR33321602,789321,2022-03-01,1,0,0
30,FMR32402602,789402,2022-03-01,1,0,0
31,FMR34402202,789402,2022-03-01,1,0,0
32,FMR32221603,789221,2022-03-01,1,0,0
33,FMR33221503,789221,2022-03-01,1,0,0
34,FMR34703602,789703,2022-03-01,1,0,0
35,FMR33401603,789401,2022-03-01,1,0,0
36,FMR34622602,789622,2022-03-01,1,0,0
37,FMR32622502,789622,2022-03-01,1,0,0
38,FMR32622503,789622,2022-03-01,1,0,0
39,FMR34622101,789622,2022-03-01,1,0,0
40,FMR33320501,789320,2022-03-01,1,0,0
41,FMR34721503,789721,2022-03-01,1,0,0
42,FMR32721603,789721,2022-03-01,1,0,0
43,FMR34122402,789122,2022-03-01,1,0,0
44,FMR33220603,789220,2022-03-01,1,0,0
45,FMR32220503,789220,2022-03-01,1,0,0
46,FMR34520301,789520,2022-03-01,1,0,0
47,FMR32520603,789520,2022-03-01,1,0,0
48,FMR32501601,789501,2022-03-01,1,0,0
49,FMR33501401,789501,2022-03-01,1,0,0
50,FMR32503401,789503,2022-03-01,1,0,0
51,FMR33503502,789503,2022-03-01,1,0,0
52,FMR33403501,789403,2022-03-01,1,0,0
53,FMR34421301,789421,2022-03-01,1,0,0
54,FMR32421601,789421,2022-03-01,1,0,0
55,FMR34303602,789303,2022-03-01,1,0,0
56,FMR32121102,789121,2022-03-01,1,0,0
57,FMR34121501,789121,2022-03-01,1,0,0
58,FMR32522303,789522,2022-03-01,1,0,0
59,FMR33522202,789522,2022-03-01,1,0,0
60,FMR32420403,789420,2022-03-01,1,0,0
61,FMR34420303,789420,2022-03-01,1,0,0
62,FMR32622402,789622,2022-03-01,0,0,0
63,FMR34201201,789201,2022-03-01,0,0,0
64,FMR32902601,789902,2022-03-01,0,0,0
65,FMR32402303,789402,2022-03-01,0,0,0
66,FMR32203101,789203,2022-03-01,0,0,0
67,FMR33320202,789320,2022-03-01,0,0,0
68,FMR34902103,789902,2022-03-01,0,0,0
69,FMR34721502,789721,2022-03-01,0,0,0
70,FMR34720402,789720,2022-03-01,0,0,0
71,FMR33601202,789601,2022-03-01,0,0,0
72,FMR32903603,789903,2022-03-01,0,0,0
73,FMR33521201,789521,2022-03-01,0,0,0
74,FMR34522403,789522,2022-03-01,0,0,0
75,FMR34522601,789522,2022-03-01,0,0,0
76,FMR34422403,789422,2022-03-01,0,0,0
77,FMR33422301,789422,2022-03-01,0,0,0
78,FMR32422503,789422,2022-03-01,0,0,0
79,FMR32422302,789422,2022-03-01,0,0,0
80,FMR32121301,789121,2022-03-01,0,0,0
81,FMR32121603,789121,2022-03-01,0,0,0
82,FMR32420602,789420,2022-03-01,0,0,0
83,FMR33420301,789420,2022-03-01,0,0,0
84,FMR34520302,789520,2022-03-01,0,0,0
85,FMR33520502,789520,2022-03-01,0,0,0
86,FMR34520503,789520,2022-03-01,0,0,0
87,FMR34520602,789520,2022-03-01,0,0,0
88,FMR33520601,789520,2022-03-01,0,0,0
89,FMR32520302,789520,2022-03-01,0,0,0
90,FMR32421203,789421,2022-03-01,0,0,0
91,FMR33421203,789421,2022-03-01,0,0,0
92,FMR32421102,789421,2022-03-01,0,0,0
93,FMR33421301,789421,2022-03-01,0,0,0
94,FMR34421601,789421,2022-03-01,0,0,0
95,FMR32421603,789421,2022-03-01,0,0,0
96,FMR34122102,789122,2022-03-01,0,0,0
97,FMR33122402,789122,2022-03-01,0,0,0
98,FMR33122301,789122,2022-03-01,0,0,0
99,FMR34122601,789122,2022-03-01,0,0,0
100,FMR34122303,789122,2022-03-01,0,0,0
101,FMR32122401,789122,2022-03-01,0,0,0
102,FMR34422101,789422,2022-03-01,0,1,0
103,FMR32422401,789422,2022-03-01,0,1,0
104,FMR32301302,789301,2022-03-01,0,1,0
105,FMR34301103,789301,2022-03-01,0,1,0
106,FMR32102202,789102,2022-03-01,0,1,0
107,FMR33720503,789720,2022-03-01,0,1,0
108,FMR34720303,789720,2022-03-01,0,1,0
109,FMR34320102,789320,2022-03-01,0,1,0
110,FMR33320503,789320,2022-03-01,0,1,0
111,FMR32320202,789320,2022-03-01,0,1,0
112,FMR32603203,789603,2022-03-01,0,1,0
113,FMR33603603,789603,2022-03-01,0,1,0
114,FMR34603401,789603,2022-03-01,0,1,0
115,FMR34721103,789721,2022-03-01,0,1,0
116,FMR33321601,789321,2022-03-01,0,1,0
117,FMR32321103,789321,2022-03-01,0,1,0
118,FMR32221402,789221,2022-03-01,0,1,0
119,FMR33221402,789221,2022-03-01,0,1,0
120,FMR32202402,789202,2022-03-01,0,1,0
121,FMR33621102,789621,2022-03-01,0,1,0
122,FMR34621601,789621,2022-03-01,0,1,0
123,FMR33621302,789621,2022-03-01,0,1,0
124,FMR34902102,789902,2022-03-01,0,1,0
125,FMR34101201,789101,2022-03-01,0,1,0
126,FMR33101202,789101,2022-03-01,0,1,0
127,FMR34401402,789401,2022-03-01,0,1,0
128,FMR33402203,789402,2022-03-01,0,1,0
129,FMR32601303,789601,2022-03-01,0,1,0
130,FMR32522301,789522,2022-03-01,0,1,0
131,FMR33522103,789522,2022-03-01,0,1,0
132,FMR33521502,789521,2022-03-01,0,1,0
133,FMR32521302,789521,2022-03-01,0,1,0
134,FMR32521202,789521,2022-03-01,0,1,0
135,FMR34121203,789121,2022-03-01,0,1,0
136,FMR34121303,789121,2022-03-01,0,1,0
137,FMR33420203,789420,2022-03-01,0,1,0
138,FMR34420402,789420,2022-03-01,0,1,0
139,FMR32420102,789420,2022-03-01,0,1,0
140,FMR33420101,789420,2022-03-01,0,1,0
141,FMR34420501,789420,2022-03-01,0,1,0
142,FMR33402303,789402,2022-03-01,1,1,1
143,FMR33622502,789622,2022-03-01,1,1,1
144,FMR34221301,789221,2022-03-01,1,1,1
145,FMR32221303,789221,2022-03-01,1,1,1
146,FMR33721603,789721,2022-03-01,1,1,1
147,FMR32320302,789320,2022-03-01,1,1,1
148,FMR34320602,789320,2022-03-01,1,1,1
149,FMR34503502,789503,2022-03-01,1,1,1
150,FMR34501203,789501,2022-03-01,1,1,1
151,FMR32501201,789501,2022-03-01,1,1,1
152,FMR34401102,789401,2022-03-01,1,1,1
153,FMR34401503,789401,2022-03-01,1,1,1
154,FMR32401103,789401,2022-03-01,1,1,1
155,FMR32720302,789720,2022-03-01,1,1,1
156,FMR33720202,789720,2022-03-01,1,1,1
157,FMR33720501,789720,2022-03-01,1,1,1
158,FMR32902402,789902,2022-03-01,1,1,1
159,FMR34902202,789902,2022-03-01,1,1,1
160,FMR34220601,789220,2022-03-01,1,1,1
161,FMR32220602,789220,2022-03-01,1,1,1
162,FMR33621603,789621,2022-03-01,1,1,1
163,FMR32621103,789621,2022-03-01,1,1,1
164,FMR34101301,789101,2022-03-01,1,1,1
165,FMR32101601,789101,2022-03-01,1,1,1
166,FMR32321201,789321,2022-03-01,1,1,1
167,FMR32203402,789203,2022-03-01,1,1,1
168,FMR34203601,789203,2022-03-01,1,1,1
169,FMR32102102,789102,2022-03-01,1,1,1
170,FMR33102601,789102,2022-03-01,1,1,1
171,FMR32201502,789201,2022-03-01,1,1,1
172,FMR33420603,789420,2022-03-01,1,1,1
173,FMR32121403,789121,2022-03-01,1,1,1
174,FMR33121302,789121,2022-03-01,1,1,1
175,FMR32422301,789422,2022-03-01,1,1,1
176,FMR33521202,789521,2022-03-01,1,1,1
177,FMR34122103,789122,2022-03-01,1,1,1
178,FMR32403401,789403,2022-03-01,1,1,1
179,FMR34202301,789202,2022-03-01,1,1,1
180,FMR33303501,789303,2022-03-01,1,1,1
181,FMR32303603,789303,2022-03-01,1,1,1
182,FMR33703603,789703,2022-03-01,1,1,1
183,FMR33703303,789703,2022-03-01,1,1,1
184,FMR32703401,789703,2022-03-01,1,1,1
185,FMR34603302,789603,2022-03-01,1,1,1
186,FMR33103301,789103,2022-03-02,1,0,0
187,FMR35103601,789103,2022-03-02,1,0,0
188,FMR33903503,789903,2022-03-02,1,0,0
189,FMR34903403,789903,2022-03-02,1,0,0
190,FMR35903601,789903,2022-03-02,1,0,0
191,FMR35903202,789903,2022-03-02,1,0,0
192,FMR33702602,789702,2022-03-02,1,0,0
193,FMR34702601,789702,2022-03-02,1,0,0
194,FMR33601203,789601,2022-03-02,1,0,0
195,FMR34601501,789601,2022-03-02,1,0,0
196,FMR35601601,789601,2022-03-02,1,0,0
197,FMR33601601,789601,2022-03-02,1,0,0
198,FMR33301502,789301,2022-03-02,1,0,0
199,FMR34301101,789301,2022-03-02,1,0,0
200,FMR33101501,789101,2022-03-02,1,0,0
201,FMR33102403,789102,2022-03-02,1,0,0
202,FMR34102403,789102,2022-03-02,1,0,0
203,FMR35902601,789902,2022-03-02,1,0,0
204,FMR33902503,789902,2022-03-02,1,0,0
205,FMR34902602,789902,2022-03-02,1,0,0
206,FMR35201303,789201,2022-03-02,1,0,0
207,FMR34202502,789202,2022-03-02,1,0,0
208,FMR33202403,789202,2022-03-02,1,0,0
209,FMR35321603,789321,2022-03-02,1,0,0
210,FMR33321303,789321,2022-03-02,1,0,0
211,FMR33402602,789402,2022-03-02,1,0,0
212,FMR34720601,789720,2022-03-02,1,0,0
213,FMR35720302,789720,2022-03-02,1,0,0
214,FMR35221203,789221,2022-03-02,1,0,0
215,FMR33703601,789703,2022-03-02,1,0,0
216,FMR35401203,789401,2022-03-02,1,0,0
217,FMR33401301,789401,2022-03-02,1,0,0
218,FMR35622603,789622,2022-03-02,1,0,0
219,FMR34320402,789320,2022-03-02,1,0,0
220,FMR35320402,789320,2022-03-02,1,0,0
221,FMR35320601,789320,2022-03-02,1,0,0
222,FMR34721601,789721,2022-03-02,1,0,0
223,FMR33721102,789721,2022-03-02,1,0,0
224,FMR33122503,789122,2022-03-02,1,0,0
225,FMR35122602,789122,2022-03-02,1,0,0
226,FMR33220402,789220,2022-03-02,1,0,0
227,FMR35220201,789220,2022-03-02,1,0,0
228,FMR34220501,789220,2022-03-02,1,0,0
229,FMR33220101,789220,2022-03-02,1,0,0
230,FMR33520203,789520,2022-03-02,1,0,0
231,FMR35520502,789520,2022-03-02,1,0,0
232,FMR33520303,789520,2022-03-02,1,0,0
233,FMR33501602,789501,2022-03-02,1,0,0
234,FMR34501403,789501,2022-03-02,1,0,0
235,FMR35501601,789501,2022-03-02,1,0,0
236,FMR33503603,789503,2022-03-02,1,0,0
237,FMR35503502,789503,2022-03-02,1,0,0
238,FMR34503602,789503,2022-03-02,1,0,0
239,FMR33403103,789403,2022-03-02,1,0,0
240,FMR35303601,789303,2022-03-02,1,0,0
241,FMR33303403,789303,2022-03-02,1,0,0
242,FMR34303303,789303,2022-03-02,1,0,0
243,FMR35121602,789121,2022-03-02,1,0,0
244,FMR35422501,789422,2022-03-02,1,0,0
245,FMR33203502,789203,2022-03-02,0,0,0
246,FMR34101302,789101,2022-03-02,0,0,0
247,FMR35603402,789603,2022-03-02,0,0,0
248,FMR33301202,789301,2022-03-02,0,0,0
249,FMR34503301,789503,2022-03-02,0,0,0
250,FMR35903201,789903,2022-03-02,0,0,0
